Dir                  aB                  eB                  iB                  aC                  eC                  iC                 gB                  nB                  mB                  gC                  nC                  mC
  1  27.497347276902698 0.33510285163092718                 0.0  334.91421304836558 0.10286886185659144  76.040127857164023  75.954350773478851  271.62603336543924   191.3248485420994  289.44173952742489  308.37755511965929  193.49047263933045 
  1  23.654799043187431 0.27865838309890356                 0.0  226.81518882659412 0.35452285612140588  37.056841189214623  300.60800878901745  285.77009334130702  162.87907032161371   22.91951546101258  232.66856135900326   234.5712599321491 
  1  26.146675307931609 0.37154960781317437                 0.0  761.72138111897448 0.72117994040536948  145.89143019981347  298.75758953472405  27.285063612805914  250.85868569494167  102.19593434675113  79.845004323356534  58.119569252686404 
  1  26.410526067281832 0.011896256268966732                 0.0  469.97315617026061 0.58400131079322126  60.010444258492569  101.20833793221874  58.414356755020314  181.75408323239756  276.73470908708958  62.335089526766254  210.12465905809395 
  1  23.983421783690495  0.2684023697138645                 0.0  345.19864525543085 0.38755091505599143  56.065289809166991  322.92323999216012   62.70636590321817   133.7815052220877  218.65587280766678   209.2292508409997  191.61745711827675 
  1  25.751530038220881 0.39025506000674026                 0.0  94.535066242038496 0.31815678140483428  13.070040697335994  312.74190398415988  36.577092716439424  123.68355744487015  24.323404477022066  177.50771780950294   214.0446759539015 
  1   25.45846474056583 0.058736977848836885                 0.0  492.65006788430401 0.66207998711095406  147.44144862148713  171.41185618618016  245.54534879870494  214.92350539178375  175.26475442906624  273.08668412131482  176.66276469304071 
  1  24.184175891095364 0.26470334709991322                 0.0  39.570117349162665 0.054837659527447041  61.787233489515707  74.661689201865016  319.33873253283616  249.26568736623798  6.0894827251078887  254.33798075001542  22.630095087537818 
  1  25.845019537464964  0.3823677625167724                 0.0  378.85341268693429 0.19823756720294519  84.447981376145421  48.971271601083018  190.49794259731084  46.777236500374975  134.62736564770867  38.472279910936706  80.851538619638788 
  1  23.877429037300068 0.25640388797950919                 0.0  353.34900999875572 0.24428627588508514  17.823350078348167  52.649485155938251  142.40779562037051  281.13378497859566  243.45333486412287  291.28183743050573  260.89845576395089 
  1  23.437760024009236 0.31460103600749106                 0.0  160.28754096216053 0.11681810051509622  12.334898737781025  61.746048856536412  6.2052152222189294  234.12032339261395  236.44194621275267  84.133830602702076  248.88891675899058 
  1  25.610690043735278 0.34484850529526845                 0.0  151.27061424740464  0.5101827192609516  144.36334790259903  52.389772609766048  275.67125565646472  150.29908099366375  65.137096598446064  126.81646853839102  286.31880236045089 
  1  25.249951515553956 0.14423949156435842                 0.0  458.91759450654166 0.41327826922647237  79.800989544890712  72.498032083189031  252.32283819947273   297.3527625628866  213.03898497184827  229.18193538044292  165.54560877809544 
  1  27.883076995317772 0.47073804769047423                 0.0  441.62652426285615 0.69381582279094778  125.52511233585268   298.6890325527217  279.01908300028435  181.97736052143338   168.1549827751231  166.68471789926596  5.5164170917051791 
  1   27.95439622791924 0.39864148357100787                 0.0  409.51675617376929 0.35041915780797589  24.082913975690843  301.63157820509178  170.68544422024041  102.62874668750239  270.54895802946197  144.64920825717036   329.9333291457238 
