Dir   aB    eB   iB     aC    eC    iC    rBf       EBf     aBf   eBf    iBf       rCf       ECf       aCf    eCf    iCf   logtB    destB   logtC    destC      dEAB     dEpsC
  1 23.9 0.155  0.0  236.2 0.022  27.8  17.21 -7.14e+06   15.28  0.37  127.4   99576.3  1.36e+05  -1203.82   4.87  128.6     7.0        - 6.09135  ejected -2.57e+06  1.37e+06
  1 27.8 0.321  0.0  270.8  0.36 114.8  38.38 -3.92e+06   27.82  0.42   27.1    9421.2 -2.48e+04   6603.48   0.65  134.0     9.0        -     9.0        - -1.12e+03  -1.2e+05
  1 24.8 0.059  0.0  434.7 0.557  90.0  21.99 -4.62e+06   23.64  0.25    3.2     918.9 -1.73e+05     943.7   0.85    2.8     9.0        -     9.0        - -2.06e+05  -5.6e+05
  1 27.5 0.062  0.0  528.4 0.473  78.7  28.69 -3.97e+06    27.5  0.14   85.4     455.9 -2.73e+05    599.43   0.44   75.2     9.0        -     9.0        -       268      -959
  1 27.1 0.423  0.0  710.0 0.556  95.8  46.85 -4.03e+06    27.1  0.77   12.2    4637.3 -2.89e+04   5672.81   0.61   85.2     9.0        -     9.0        -  1.89e+03  -1.1e+05
  1 25.9 0.334  0.0  426.2 0.262  51.4   35.8 -4.22e+06   25.86  0.45    7.9   99894.5  7.24e+04  -2262.65    4.6   78.6     7.0        - 6.21791  ejected      -457 -7.26e+05
  1 26.9 0.132  0.0  241.8 0.599 145.8  39.83 -4.06e+06   26.91  0.57    2.4   99998.8  5.22e+04   -3136.4   6.49   29.5     7.0        - 6.06452  ejected      -246 -1.35e+06
  1 27.7 0.266  0.0  309.3 0.247 136.8  42.13 -3.94e+06   27.71  0.61    1.9   99945.0  3.64e+05   -450.35  60.98    6.9     6.0        - 5.71645  ejected  2.04e+03 -1.74e+06
  1 25.0 0.295  0.0  831.7 0.652 144.3  39.08 -4.37e+06   24.98  0.73    8.9   99919.5  2.42e+05   -677.55  19.61   43.3     6.0        - 5.99422  ejected  1.96e+03 -1.22e+06
  1 26.3 0.342  0.0  190.7 0.329  27.6  23.27 -6.09e+06   17.93  0.33   40.0    4506.3 -4.57e+04   3583.17   0.49  145.7     9.0        -     9.0        -  -6.9e+06  8.75e+05
  2 24.7 0.214  0.0  132.0 0.101 162.6 99986.1  1.38e+06   -79.3 356.1   88.5   50006.9  6.57e+05   -249.09 123.52   91.7 5.93104  ejected 5.93104  ejected   5.8e+06  1.43e+06
  2 23.4 0.203  0.0  424.8 0.434  61.2  33.27 -4.66e+06   23.42  0.43    6.0   99148.6  1.68e+05   -974.32  18.31   25.2     7.0        - 6.01998  ejected -1.03e+03 -1.45e+06
  2 27.5 0.364  0.0  590.6 0.674  58.6  23.35 -3.97e+06   27.48  0.37    1.7   99971.5  5.59e+04   -2926.4   1.74   53.0     7.0        - 6.22801  ejected  1.38e+03 -2.53e+05
  2 25.2 0.404  0.0  259.8 0.313  44.6  12.38 -4.33e+06   25.19  0.84    5.3  100010.0  3.74e+05   -437.56  73.78    9.0     6.0        - 5.65993  ejected -3.07e+03 -2.56e+06
  2 24.5 0.271  0.0  234.4 0.263 150.5  40.71 -4.46e+06   24.49  0.67    8.7   99876.0  2.48e+05   -658.97  20.68   81.1     6.0        - 5.97121  ejected  8.57e+03 -1.18e+06
  2 25.0 0.135  0.0  224.0 0.326 128.8  26.79 -5.23e+06   20.87  0.37  102.4   99212.6  3.86e+05   -424.56   1.07   96.5     7.0        -  6.5256  ejected -8.68e+05  6.41e+05
